,Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Date of Report,Time of Report,Occurrence Year,Age Group
24,25,,,Bangalore,527,DRUG OFFENSE,18,F,Other,Other Crime,1,0,Ongoing,,,,Teen
25,26,,,Jaipur,282,ASSAULT,60,M,Firearm,Violent Crime,15,1,12-03-2020 16:00,,,,Adult
26,27,,,Pune,247,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,13,0,Ongoing,,,,Adult
27,28,,,Lucknow,489,PUBLIC INTOXICATION,41,F,None,Other Crime,7,0,Ongoing,,,,Adult
28,29,,,Bangalore,387,VANDALISM,33,F,Explosives,Other Crime,19,0,Ongoing,,,,Young Adult
29,30,,,Bhopal,517,BURGLARY,37,F,None,Other Crime,4,0,Ongoing,,,,Adult
30,31,,,Bhopal,570,HOMICIDE,32,F,Explosives,Other Crime,13,0,Ongoing,,,,Young Adult
31,32,,,Hyderabad,222,VANDALISM,60,M,Knife,Other Crime,3,1,18-03-2020 13:00,,,,Adult
32,33,,,Delhi,319,ILLEGAL POSSESSION,73,F,Knife,Other Crime,19,0,Ongoing,,,,Senior
33,34,,,Patna,575,VEHICLE - STOLEN,24,F,Explosives,Violent Crime,6,0,Ongoing,,,,Young Adult
34,35,,,Kanpur,341,VANDALISM,34,F,Other,Other Crime,14,0,Ongoing,,,,Young Adult
35,36,,,Chennai,396,COUNTERFEITING,32,F,Blunt Object,Other Crime,11,0,Ongoing,,,,Young Adult
36,37,,,Lucknow,187,SEXUAL ASSAULT,33,F,Blunt Object,Violent Crime,9,1,02-07-2020 05:00,,,,Young Adult
37,38,,,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,0,Ongoing,,,,Young Adult
38,39,,,Surat,487,VEHICLE - STOLEN,32,F,None,Violent Crime,13,1,11-03-2020 23:00,,,,Young Adult
39,40,,,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,1,15-01-2020 02:00,,,,Senior
40,41,,,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,0,Ongoing,,,,Young Adult
41,42,,,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,0,Ongoing,,,,Adult
42,43,,,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,1,17-03-2020 03:00,,,,Adult
43,44,,,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,0,Ongoing,,,,Adult
44,45,,,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,1,12-01-2020 19:00,,,,Adult
45,46,,,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,0,Ongoing,,,,Senior
46,47,,,Delhi,555,ROBBERY,47,F,None,Violent Crime,9,0,Ongoing,,,,Adult
47,48,,,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,1,14-03-2020 17:00,,,,Adult
48,49,,,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,0,Ongoing,,,,Senior
49,50,,,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,0,Ongoing,,,,Adult
50,51,,,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,1,13-04-2020 05:00,,,,Adult
51,52,,,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,1,14-04-2020 12:00,,,,Adult
52,53,,,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,1,20-01-2020 00:00,,,,Young Adult
53,54,,,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,0,Ongoing,,,,Senior
54,55,,,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,0,Ongoing,,,,Senior
55,56,,,Meerut,596,BURGLARY,49,F,None,Other Crime,19,0,Ongoing,,,,Adult
56,57,,,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,1,20-07-2020 01:00,,,,Senior
57,58,,,Ahmedabad,110,ASSAULT,70,F,None,Violent Crime,15,0,Ongoing,,,,Senior
58,59,,,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,0,Ongoing,,,,Senior
59,60,,,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,1,31-03-2020 18:00,,,,Adult
60,61,,,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,0,Ongoing,,,,Teen
61,62,,,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,1,09-02-2020 21:00,,,,Young Adult
62,63,,,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,1,15-03-2020 20:00,,,,Adult
63,64,,,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,1,20-03-2020 06:00,,,,Teen
64,65,,,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,0,Ongoing,,,,Adult
65,66,,,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,1,15-03-2020 14:00,,,,Adult
66,67,,,Bhopal,306,CYBERCRIME,25,M,None,Other Crime,6,0,Ongoing,,,,Young Adult
67,68,,,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,1,02-05-2020 20:00,,,,Young Adult
68,69,,,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,1,17-01-2020 09:00,,,,Adult
69,70,,,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,0,Ongoing,,,,Young Adult
70,71,,,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,0,Ongoing,,,,Adult
71,72,,,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,1,23-03-2020 18:00,,,,Adult
72,73,,,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,0,Ongoing,,,,Young Adult
73,74,,,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,1,20-01-2020 05:00,,,,Adult
74,75,,,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,0,Ongoing,,,,Senior
75,76,,,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,1,26-01-2020 00:00,,,,Adult
76,77,,,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,0,Ongoing,,,,Young Adult
77,78,,,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,1,29-03-2020 21:00,,,,Adult
78,79,,,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,0,Ongoing,,,,Adult
79,80,,,Visakhapatnam,154,VEHICLE - STOLEN,54,F,None,Violent Crime,15,1,15-01-2020 03:00,,,,Adult
80,81,,,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,1,04-03-2020 03:00,,,,Senior
81,82,,,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,0,Ongoing,,,,Teen
82,83,,,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,1,21-03-2020 12:00,,,,Young Adult
83,84,,,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,1,20-01-2020 19:00,,,,Senior
84,85,,,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,0,Ongoing,,,,Adult
85,86,,,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,1,11-03-2020 17:00,,,,Young Adult
86,87,,,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,1,18-01-2020 06:00,,,,Young Adult
87,88,,,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,0,Ongoing,,,,Child
88,89,,,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,0,Ongoing,,,,Teen
89,90,,,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,0,Ongoing,,,,Senior
90,91,,,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,0,Ongoing,,,,Senior
91,92,,,Jaipur,510,CYBERCRIME,60,F,None,Other Crime,7,0,Ongoing,,,,Adult
92,93,,,Hyderabad,597,FRAUD,53,M,None,Other Crime,13,1,01-04-2020 16:00,,,,Adult
93,94,,,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,0,Ongoing,,,,Adult
94,95,,,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,0,Ongoing,,,,Child
95,96,,,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,0,Ongoing,,,,Adult
96,97,,,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,1,12-02-2020 02:00,,,,Young Adult
97,98,,,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,0,Ongoing,,,,Senior
98,99,,,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,1,23-01-2020 23:00,,,,Senior
99,100,,,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,1,22-01-2020 20:00,,,,Teen
100,101,,,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,1,14-01-2020 23:00,,,,Adult
101,102,,,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,0,Ongoing,,,,Senior
102,103,,,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,0,Ongoing,,,,Young Adult
103,104,,,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,1,19-02-2020 16:00,,,,Adult
104,105,,,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,0,Ongoing,,,,Adult
105,106,,,Hyderabad,583,VEHICLE - STOLEN,69,F,None,Violent Crime,12,1,22-02-2020 00:00,,,,Senior
106,107,,,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,0,Ongoing,,,,Child
107,108,,,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,1,09-02-2020 12:00,,,,Young Adult
108,109,,,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,0,Ongoing,,,,Adult
109,110,,,Delhi,464,ARSON,15,F,Other,Fire Accident,9,0,Ongoing,,,,Teen
110,111,,,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,1,16-02-2020 04:00,,,,Adult
111,112,,,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,6,0,Ongoing,,,,Adult
112,113,,,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,1,08-11-2021 09:00,,,,Adult
113,114,,,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,0,Ongoing,,,,Young Adult
114,115,,,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,1,03-02-2020 13:00,,,,Adult
115,116,,,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,0,Ongoing,,,,Senior
116,117,,,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,1,13-03-2020 04:00,,,,Adult
117,118,,,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,1,30-03-2020 20:00,,,,Young Adult
118,119,,,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,1,27-02-2020 19:00,,,,Teen
119,120,,,Pune,537,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,3,1,27-01-2020 02:00,,,,Senior
120,121,,,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,1,22-01-2020 14:00,,,,Senior
121,122,,,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,1,06-04-2020 19:00,,,,Young Adult
122,123,,,Bhopal,432,VANDALISM,60,F,None,Other Crime,4,0,Ongoing,,,,Adult
123,124,,,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,0,Ongoing,,,,Adult
124,125,,,Pune,347,FRAUD,30,M,Knife,Other Crime,14,0,Ongoing,,,,Young Adult
125,126,,,Pune,127,ASSAULT,62,F,None,Violent Crime,10,0,Ongoing,,,,Senior
126,127,,,Surat,117,FIREARM OFFENSE,42,F,None,Fire Accident,8,0,Ongoing,,,,Adult
127,128,,,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,1,01-04-2020 04:00,,,,Senior
128,129,,,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,0,Ongoing,,,,Young Adult
129,130,,,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,1,20-05-2020 14:00,,,,Young Adult
130,131,,,Agra,331,ARSON,13,F,Poison,Fire Accident,19,0,Ongoing,,,,Teen
131,132,,,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,0,Ongoing,,,,Adult
132,133,,,Bangalore,309,HOMICIDE,18,M,None,Other Crime,2,0,Ongoing,,,,Teen
133,134,,,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,0,Ongoing,,,,Senior
134,135,,,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,0,Ongoing,,,,Adult
135,136,,,Delhi,278,FRAUD,71,F,Other,Other Crime,7,0,Ongoing,,,,Senior
136,137,,,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,1,23-01-2020 23:00,,,,Adult
137,138,,,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,0,Ongoing,,,,Child
138,139,,,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,0,Ongoing,,,,Adult
139,140,,,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,1,06-02-2020 16:00,,,,Adult
140,141,,,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,0,Ongoing,,,,Senior
141,142,,,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,1,27-03-2020 23:00,,,,Adult
142,143,,,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,2,0,Ongoing,,,,Adult
143,144,,,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,1,04-02-2020 06:00,,,,Senior
144,145,,,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,0,Ongoing,,,,Teen
145,146,,,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,0,Ongoing,,,,Teen
146,147,,,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,1,26-01-2020 16:00,,,,Adult
147,148,,,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,0,Ongoing,,,,Young Adult
148,149,,,Agra,558,IDENTITY THEFT,41,F,None,Violent Crime,5,1,27-02-2020 06:00,,,,Adult
149,150,,,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,1,03-04-2020 08:00,,,,Adult
150,151,,,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,1,27-03-2020 08:00,,,,Young Adult
151,152,,,Bangalore,311,ILLEGAL POSSESSION,67,M,None,Other Crime,16,0,Ongoing,,,,Senior
152,153,,,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,0,Ongoing,,,,Young Adult
153,154,,,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,0,Ongoing,,,,Adult
154,155,,,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,0,Ongoing,,,,Adult
155,156,,,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,1,02-04-2020 05:00,,,,Senior
156,157,,,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,0,Ongoing,,,,Young Adult
157,158,,,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,0,Ongoing,,,,Teen
158,159,,,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,1,08-02-2020 18:00,,,,Adult
159,160,,,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,1,22-03-2020 19:00,,,,Young Adult
160,161,,,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,1,19-02-2020 03:00,,,,Young Adult
161,162,,,Surat,420,CYBERCRIME,17,F,None,Other Crime,12,0,Ongoing,,,,Teen
162,163,,,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,0,Ongoing,,,,Adult
163,164,,,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,0,Ongoing,,,,Senior
164,165,,,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,1,23-12-2020 00:00,,,,Child
165,166,,,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,1,10-03-2020 14:00,,,,Adult
166,167,,,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,1,27-01-2020 16:00,,,,Senior
167,168,,,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,1,04-03-2020 22:00,,,,Child
168,169,,,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,0,Ongoing,,,,Teen
169,170,,,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,1,17-01-2020 07:00,,,,Young Adult
170,171,,,Agra,352,COUNTERFEITING,24,M,None,Other Crime,14,1,11-03-2020 11:00,,,,Young Adult
171,172,,,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,0,Ongoing,,,,Adult
172,173,,,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,1,29-10-2021 03:00,,,,Adult
173,174,,,Indore,438,DRUG OFFENSE,40,F,None,Other Crime,7,0,Ongoing,,,,Adult
174,175,,,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,1,15-06-2020 00:00,,,,Senior
175,176,,,Lucknow,292,BURGLARY,66,F,None,Other Crime,14,1,28-06-2020 23:00,,,,Senior
176,177,,,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,1,21-03-2020 14:00,,,,Young Adult
177,178,,,Mumbai,331,ILLEGAL POSSESSION,54,F,None,Other Crime,11,0,Ongoing,,,,Adult
178,179,,,Agra,191,FRAUD,42,F,Knife,Other Crime,8,0,Ongoing,,,,Adult
179,180,,,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,1,23-01-2020 01:00,,,,Senior
180,181,,,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,0,Ongoing,,,,Young Adult
181,182,,,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,0,Ongoing,,,,Adult
182,183,,,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,1,09-05-2021 09:00,,,,Young Adult
183,184,,,Hyderabad,422,SEXUAL ASSAULT,27,F,None,Violent Crime,4,0,Ongoing,,,,Young Adult
184,185,,,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,1,03-03-2020 19:00,,,,Senior
185,186,,,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,1,12-03-2020 15:00,,,,Senior
186,187,,,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,1,13-02-2020 09:00,,,,Senior
187,188,,,Nagpur,236,IDENTITY THEFT,66,F,None,Violent Crime,14,1,15-03-2020 18:00,,,,Senior
188,189,,,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,1,23-03-2020 04:00,,,,Young Adult
189,190,,,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,1,12-02-2020 05:00,,,,Adult
190,191,,,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,0,Ongoing,,,,Senior
191,192,,,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,1,20-01-2020 02:00,,,,Teen
192,193,,,Ghaziabad,249,PUBLIC INTOXICATION,19,F,None,Other Crime,3,0,Ongoing,,,,Teen
193,194,,,Jaipur,389,DOMESTIC VIOLENCE,49,M,None,Violent Crime,12,1,06-03-2020 09:00,,,,Adult
194,195,,,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,12,0,Ongoing,,,,Young Adult
195,196,,,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,4,1,14-02-2020 04:00,,,,Adult
196,197,,,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,1,1,24-01-2020 10:00,,,,Young Adult
197,198,,,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,1,22-01-2020 17:00,,,,Young Adult
198,199,,,Delhi,367,ARSON,62,F,Firearm,Fire Accident,3,0,Ongoing,,,,Senior
199,200,,,Nashik,471,HOMICIDE,56,F,Blunt Object,Other Crime,4,0,Ongoing,,,,Adult
200,201,,,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,Other Crime,8,1,05-02-2020 23:00,,,,Young Adult
201,202,,,Nagpur,484,FRAUD,63,M,Explosives,Other Crime,13,0,Ongoing,,,,Senior
202,203,,,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,1,15-03-2020 04:00,,,,Young Adult
203,204,,,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,5,1,14-03-2020 16:00,,,,Teen
204,205,,,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,13,1,03-03-2020 04:00,,,,Adult
205,206,,,Thane,246,VEHICLE - STOLEN,44,F,None,Violent Crime,7,1,29-02-2020 22:00,,,,Adult
206,207,,,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,1,10-02-2020 08:00,,,,Young Adult
207,208,,,Patna,542,ASSAULT,59,M,None,Violent Crime,2,0,Ongoing,,,,Adult
208,209,,,Hyderabad,257,EXTORTION,41,F,Explosives,Other Crime,17,0,Ongoing,,,,Adult
209,210,,,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,Other Crime,18,1,14-01-2020 03:00,,,,Adult
210,211,,,Bhopal,148,COUNTERFEITING,15,M,Explosives,Other Crime,6,0,Ongoing,,,,Teen
211,212,,,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,Fire Accident,17,0,Ongoing,,,,Young Adult
212,213,,,Kolkata,598,IDENTITY THEFT,19,F,Firearm,Violent Crime,6,1,21-01-2020 23:00,,,,Teen
213,214,,,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,1,13-03-2020 05:00,,,,Senior
214,215,,,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,1,1,01-09-2021 16:00,,,,Adult
215,216,,,Ahmedabad,163,SHOPLIFTING,14,F,Knife,Other Crime,18,0,Ongoing,,,,Teen
216,217,,,Kolkata,572,COUNTERFEITING,73,M,None,Other Crime,2,1,23-02-2020 18:00,,,,Senior
217,218,,,Surat,561,FRAUD,49,F,Other,Other Crime,18,0,Ongoing,,,,Adult
218,219,,,Pune,336,TRAFFIC VIOLATION,61,M,Other,Traffic Fatality,10,0,Ongoing,,,,Senior
219,220,,,Nagpur,563,BURGLARY,68,F,Knife,Other Crime,18,0,Ongoing,,,,Senior
220,221,,,Kolkata,218,VEHICLE - STOLEN,24,F,None,Violent Crime,1,1,15-02-2020 23:00,,,,Young Adult
221,222,,,Ludhiana,276,KIDNAPPING,69,F,Poison,Other Crime,7,1,22-01-2020 08:00,,,,Senior
222,223,,,Bangalore,570,FRAUD,55,F,Poison,Other Crime,11,0,Ongoing,,,,Adult
223,224,,,Chennai,307,ROBBERY,49,F,Knife,Violent Crime,19,1,01-05-2020 21:00,,,,Adult
224,225,,,Bangalore,153,CYBERCRIME,40,F,Firearm,Other Crime,5,1,01-04-2020 19:00,,,,Adult
225,226,,,Surat,340,HOMICIDE,51,F,Explosives,Other Crime,8,0,Ongoing,,,,Adult
226,227,,,Mumbai,365,VANDALISM,35,F,Poison,Other Crime,15,1,16-03-2020 16:00,,,,Young Adult
227,228,,,Pune,269,COUNTERFEITING,65,F,Blunt Object,Other Crime,6,0,Ongoing,,,,Senior
228,229,,,Jaipur,247,VEHICLE - STOLEN,61,F,Other,Violent Crime,18,1,25-02-2020 05:00,,,,Senior
229,230,,,Ahmedabad,190,VANDALISM,35,M,Poison,Other Crime,8,0,Ongoing,,,,Young Adult
230,231,,,Pune,429,IDENTITY THEFT,45,M,Blunt Object,Violent Crime,1,0,Ongoing,,,,Adult
231,232,,,Patna,547,ARSON,32,F,None,Fire Accident,12,1,15-02-2020 15:00,,,,Young Adult
232,233,,,Mumbai,136,HOMICIDE,11,F,Other,Other Crime,9,0,Ongoing,,,,Child
233,234,,,Kolkata,254,ASSAULT,40,M,Poison,Violent Crime,14,0,Ongoing,,,,Adult
234,235,,,Mumbai,514,TRAFFIC VIOLATION,23,F,Firearm,Traffic Fatality,19,1,14-01-2020 21:00,,,,Young Adult
